Product Name,Price,Validity,Setiap Hari,Semua Aplikasi,Setelah Batas Harian,Kuota 24 Jam,Setelah Kuota Utama Habis,Ke Semua smartfren,Kuota Utama,Walau Kuota Habis,ke Sesama Smartfren,Hingga 4 GB,6 GB,Kuota Lokal,Kuota Aplikasi,Ke Semua Smartfren
Unlimited Harian 3 GB,Rp100.000,Berlaku 28 hari,3 GB,Unlimited 24 Jam,Anti Potong Pulsa,,,,,,,,,,,
Unlimited Harian 2 GB,Rp80.000,Berlaku 28 hari,2 GB,Unlimited 24 Jam,Anti Potong Pulsa,,,,,,,,,,,
Unlimited Harian 700 MB,Rp65.000,Berlaku 28 hari,700 MB,Unlimited 24 Jam,Anti Potong Pulsa,,,,,,,,,,,
Unlimited Harian 1 GB,Rp45.000,Berlaku 14 hari,1 GB,Unlimited 24 Jam,Anti Potong Pulsa,,,,,,,,,,,
Unlimited Harian 1 GB,Rp25.000,Berlaku 7 hari,1 GB,Unlimited 24 Jam,Anti Potong Pulsa,,,,,,,,,,,
Unlimited Harian 1 GB,Rp9.000,Berlaku 1 hari,1 GB,Unlimited 24 Jam,Anti Potong Pulsa,,,,,,,,,,,
Unlimited Nonstop 2 GB,Rp10.000,Berlaku 10 hari,,,,2 GB,Akses Nonstop,Gratis Nelpon,,,,,,,,
Unlimited Nonstop 3 GB,Rp15.000,Berlaku 14 hari,,,,,,,3 GB,Unlimited Aplikasi Pilihan,Gratis Nelpon,,,,,
Unlimited Nonstop 6 GB,Rp35.000,Berlaku 30 hari,,,,,,,6 GB,Unlimited Aplikasi Pilihan,,Bonus Kuota Lokal,,,,
Unlimited Nonstop 12 GB,Rp50.000,Berlaku 30 hari,,,,,,,12 GB,Unlimited Aplikasi Pilihan,,,Bonus Kuota,,,
Unlimited Nonstop 30GB,Rp70.000,Berlaku 30 hari,,,Anti Potong Pulsa,,,,30 GB,Unlimited Aplikasi Pilihan,,,,,,
Unlimited Nonstop 45 GB,Rp100.000,Berlaku 30 hari,,,Anti Potong Pulsa,,,,45 GB,Unlimited Aplikasi Pilihan,,,,,,
Unlimited Nonstop 60 GB,Rp125.000,Berlaku 30 hari,,,Anti Potong Pulsa,,,,60 GB,Unlimited Aplikasi Pilihan,,,,,,
Paket Data Kuota 100 GB,Rp100.000,Berlaku 30 hari,,,,,,,25 GB,,,,,75 GB,,
Paket Data Kuota M,Rp38.000,Berlaku 30 hari,,,,,,,6 GB,,,,,Hingga 10 GB,5 GB,
Paket Data Kuota L,Rp55.000,Berlaku 30 hari,,,,,,,12 GB,,,,,Hingga 18 GB,10 GB,
Paket Data Kuota 2L,Rp82.000,Berlaku 30 hari,,,,,,,20 GB,,,,,Hingga 35 GB,10 GB,
Paket Data Kuota 3L,Rp115.000,Berlaku 30 hari,,,,,,,32 GB,,,,,Hingga 53 GB,15 GB,
Paket Data Kuota 4L,Rp137.000,Berlaku 30 hari,,,,,,,44 GB,,,,,Hingga 66 GB,15 GB,
Kuota 3 GB,Rp15.000,Berlaku 14 hari,,,,3 GB,,,,Unlimited Aplikasi Pilihan,,,,,,+Gratis Nelpon
