Product Name,Price,Main Quota Amount (GB),Main Quota Duration (Hari),App Quota Amount (GB),App Quota Duration (Hari),Product Duration (Hari)
Happy 130GB 30 hari,150000,130.0,30.0,0.0,0.0,30.0
Happy 100GB 30 Hari..,140000,100.0,30.0,5.0,5.0,30.0
Happy 50GB 30 Hari,100000,50.0,30.0,5.0,5.0,30.0
Happy 42GB 30 Hari..,90000,42.0,30.0,5.0,5.0,30.0
Happy 52GB UL 30 Hari..,80000,22.0,30.0,35.0,30.0,30.0
Happy 30GB 30 Hari,70000,30.0,30.0,5.0,5.0,30.0
Happy 13GB 30 Hari,50000,13.0,30.0,5.0,5.0,30.0
Happy 10GB 10 Hari,35000,10.0,10.0,0.0,0.0,10.0
Happy 7GB 30 Hari,30000,7.0,30.0,5.0,5.0,30.0
Happy 9GB 5 Hari,25000,9.0,5.0,0.0,0.0,5.0
Happy 5GB 7 Hari,20000,5.0,7.0,0.0,0.0,7.0
Happy 3.5GB 30 Hari,20000,3.5,30.0,0.0,0.0,30.0
Happy 3.5GB 5 Hari..,17000,3.5,5.0,0.0,0.0,5.0
Happy 5GB 3 Hari,15000,5.0,3.0,0.0,0.0,3.0
Happy 5GB 1 Hari..,11000,5.0,1.0,0.0,0.0,1.0
Happy 3GB 3 Hari,11000,3.0,3.0,0.0,0.0,3.0
Happy 3GB 2 Hari,10000,3.0,2.0,0.0,0.0,2.0
Happy 1.5GB 7 Hari..,10000,1.5,7.0,0.0,0.0,7.0
Happy 2GB 1 Hari,5000,2.0,1.0,0.0,0.0,1.0
Happy 2.5GB 1 Hari..,6000,2.5,1.0,0.0,0.0,1.0
Hot Sale 100GB 24 Jam.,140000,100.0,30.0,5.0,5.0,30.0
Hot Sale 117GB 24 Jam,125000,117.0,30.0,0.0,0.0,30.0
Hot Sale 50GB 24 Jam,100000,50.0,30.0,5.0,5.0,30.0
Hot Sale 30GB 24 Jam,70000,30.0,30.0,5.0,5.0,30.0
Hot Sale 13GB 24 Jam,50000,13.0,30.0,5.0,5.0,30.0
Hot Sale 30GB 7hr,20000,30.0,7.0,0.0,0.0,7.0
AON Full 40GB..,100000,40.0,365.0,0.0,0.0,365.0
AON Unlimited 26GB..,80000,26.0,365.0,0.0,0.0,365.0
AON Full 14GB,60000,14.0,365.0,0.0,0.0,365.0
AON Full 10GB,50000,10.0,365.0,0.0,0.0,365.0
AON Full 7GB,40000,7.0,365.0,0.0,0.0,365.0
AON Full 4GB,25000,4.0,365.0,0.0,0.0,365.0
AON Full 3GB,20000,3.0,365.0,0.0,0.0,365.0
Home 150GB.,160000,150.0,30.0,0.0,0.0,30.0
Home 120GB.,130000,120.0,30.0,0.0,0.0,30.0
Home 117GB..,125000,117.0,30.0,0.0,0.0,30.0
Home 100GB.,100000,100.0,7.0,0.0,0.0,7.0
Home 38GB.,90000,31.0,30.0,0.0,0.0,30.0
Home 32GB.,80000,19.0,30.0,0.0,0.0,30.0
Rp 25.000,25000,0.0,0.0,0.0,0.0,0.0
Rp 10.000,10000,0.0,0.0,0.0,0.0,0.0
130GB 30 Hari,150000,130.0,30.0,0.0,0.0,30.0
100GB 30 Hari.,140000,100.0,30.0,5.0,5.0,30.0
50GB 30 Hari,100000,50.0,30.0,5.0,5.0,30.0
30GB 30 Hari,70000,30.0,30.0,5.0,5.0,30.0
13GB 30 Hari,50000,13.0,30.0,5.0,5.0,30.0
5GB 7 Hari,20000,5.0,7.0,0.0,0.0,7.0
50GB 7 Hari.,15000,50.0,7.0,0.0,0.0,7.0
3GB 2 Hari,10000,3.0,2.0,0.0,0.0,2.0
6GB 3 Hari,10000,6.0,30.0,0.0,0.0,30.0
5GB 1 Hari,5000,0.0,0.0,0.0,0.0,0.0
38GB+30Menit 30 Hari.,90000,16.0,30.0,0.0,0.0,30.0
32GB+30Menit 30 Hari.,85000,16.0,30.0,0.0,0.0,30.0
3GB + Voice.,40000,8.0,30.0,0.0,0.0,30.0
2GB + Voice.,35000,8.0,30.0,0.0,0.0,30.0
6GB + Voice.,15000,6.0,30.0,0.0,0.0,30.0
5GB + Voice.,10000,5.0,30.0,0.0,0.0,30.0
